Tayal 2007			// REFERENCE
transition (lower-upper)	// Column 1
Collision strenth at T 		// Columns 2-11
Collision strenghs (unitless)   // Data type
The first row is a header row. 
Temepratures in the first row in K
\begindata
4-9	0.102	0.114	0.123	0.129	0.134	0.141	0.143	0.143	0.140	0.138	0.128
4-10	0.160	0.180	0.193	0.201	0.208	0.220	0.229	0.245	0.259	0.272	0.329
4-11	0.064	0.056	0.053	0.051	0.050	0.049	0.048	0.044	0.042	0.039	0.032
4-12	0.146	0.122	0.110	0.103	0.099	0.092	0.087	0.078	0.072	0.067	0.052
4-13	0.154	0.118	0.103	0.095	0.090	0.082	0.076	0.067	0.060	0.055	0.040
4-14	0.073	0.077	0.082	0.085	0.087	0.088	0.087	0.084	0.083	0.082	0.085
4-15	0.089	0.097	0.104	0.108	0.110	0.109	0.105	0.096	0.089	0.084	0.072
4-16	0.295	0.299	0.304	0.308	0.314	0.329	0.346	0.379	0.409	0.438	0.556
4-17	0.052	0.056	0.054	0.051	0.048	0.041	0.036	0.030	0.026	0.024	0.019
4-18	0.020	0.018	0.017	0.017	0.017	0.016	0.015	0.015	0.014	0.013	0.011
4-19	0.036	0.033	0.032	0.031	0.030	0.029	0.028	0.026	0.025	0.023	0.020
4-20	0.044	0.039	0.038	0.037	0.036	0.034	0.033	0.031	0.029	0.028	0.024
4-21	0.028	0.027	0.026	0.026	0.026	0.026	0.025	0.023	0.022	0.021	0.018
4-22	0.061	0.058	0.060	0.061	0.062	0.063	0.061	0.058	0.054	0.051	0.042
4-23	0.077	0.083	0.088	0.091	0.094	0.097	0.099	0.101	0.102	0.104	0.116
4-24	0.024	0.022	0.021	0.020	0.020	0.018	0.018	0.016	0.015	0.015	0.013
4-25	0.037	0.035	0.033	0.032	0.032	0.030	0.029	0.026	0.025	0.024	0.020
4-26	0.029	0.029	0.028	0.028	0.027	0.026	0.025	0.023	0.021	0.020	0.017
4-27	0.052	0.048	0.045	0.043	0.042	0.039	0.038	0.036	0.035	0.035	0.035
4-28	0.058	0.049	0.043	0.040	0.037	0.034	0.031	0.029	0.027	0.026	0.025
4-29	0.015	0.012	0.011	0.010	0.010	0.009	0.009	0.008	0.008	0.007	0.006
4-30	0.069	0.073	0.076	0.079	0.083	0.090	0.097	0.109	0.119	0.127	0.158
4-31	0.073	0.081	0.088	0.095	0.102	0.119	0.134	0.158	0.178	0.194	0.254
4-32	0.152	0.154	0.154	0.155	0.156	0.160	0.164	0.171	0.177	0.182	0.200
4-33	0.040	0.043	0.044	0.044	0.043	0.041	0.040	0.038	0.036	0.035	0.033
4-34	0.050	0.048	0.046	0.045	0.044	0.042	0.040	0.039	0.038	0.038	0.037
4-35	0.029	0.028	0.028	0.027	0.026	0.025	0.024	0.023	0.022	0.022	0.021
5-6	0.278	0.277	0.277	0.277	0.277	0.278	0.279	0.281	0.283	0.283	0.279
5-7	0.132	0.132	0.132	0.132	0.132	0.132	0.133	0.134	0.135	0.135	0.133
5-8	0.050	0.050	0.050	0.050	0.050	0.050	0.051	0.051	0.051	0.051	0.050
5-9	0.371	0.416	0.446	0.467	0.483	0.511	0.530	0.560	0.586	0.609	0.710
5-10	0.152	0.171	0.183	0.192	0.199	0.210	0.214	0.217	0.216	0.216	0.215
5-11	0.106	0.085	0.074	0.069	0.065	0.058	0.054	0.047	0.042	0.038	0.028
5-12	0.260	0.213	0.188	0.173	0.164	0.148	0.137	0.121	0.109	0.100	0.075
5-13	0.355	0.294	0.270	0.260	0.255	0.245	0.236	0.217	0.201	0.188	0.148
5-14	0.092	0.098	0.103	0.107	0.109	0.107	0.103	0.094	0.087	0.082	0.070
5-15	0.230	0.251	0.269	0.281	0.288	0.290	0.284	0.269	0.258	0.251	0.243
5-16	0.583	0.592	0.600	0.609	0.620	0.651	0.686	0.758	0.824	0.883	1.115
5-17	0.089	0.097	0.095	0.090	0.085	0.074	0.065	0.055	0.049	0.045	0.036
5-18	0.022	0.019	0.018	0.017	0.017	0.016	0.015	0.014	0.013	0.012	0.010
5-19	0.048	0.042	0.040	0.039	0.038	0.035	0.034	0.031	0.029	0.028	0.024
5-20	0.081	0.073	0.069	0.067	0.066	0.063	0.060	0.056	0.053	0.050	0.043
5-21	0.111	0.104	0.102	0.101	0.100	0.098	0.095	0.090	0.086	0.083	0.072
5-22	0.192	0.199	0.208	0.215	0.220	0.227	0.230	0.234	0.236	0.238	0.254
5-23	0.092	0.090	0.092	0.094	0.096	0.097	0.096	0.092	0.089	0.086	0.078
5-24	0.103	0.092	0.094	0.096	0.098	0.098	0.097	0.093	0.089	0.086	0.078
5-25	0.052	0.051	0.050	0.048	0.047	0.045	0.043	0.040	0.038	0.036	0.031
5-26	0.107	0.100	0.096	0.093	0.091	0.086	0.082	0.076	0.072	0.069	0.060
5-27	0.078	0.068	0.061	0.056	0.053	0.047	0.044	0.040	0.038	0.037	0.035
5-28	0.152	0.133	0.121	0.113	0.108	0.099	0.094	0.088	0.085	0.084	0.083
5-29	0.029	0.024	0.022	0.021	0.021	0.019	0.018	0.017	0.016	0.015	0.013
5-30	0.216	0.234	0.252	0.269	0.286	0.327	0.364	0.425	0.473	0.513	0.664
5-31	0.073	0.078	0.081	0.085	0.088	0.097	0.105	0.118	0.129	0.138	0.171
5-32	0.041	0.043	0.044	0.044	0.043	0.041	0.040	0.038	0.036	0.035	0.030
5-33	0.346	0.352	0.354	0.355	0.357	0.362	0.368	0.379	0.389	0.398	0.432
5-34	0.051	0.049	0.048	0.047	0.046	0.044	0.043	0.042	0.041	0.041	0.040
5-35	0.104	0.097	0.093	0.091	0.089	0.085	0.084	0.082	0.081	0.080	0.079
6-7	0.796	0.794	0.794	0.798	0.807	0.838	0.870	0.920	0.955	0.980	1.052
6-8	0.310	0.311	0.313	0.317	0.323	0.342	0.359	0.383	0.399	0.409	0.433
6-9	0.695	0.695	0.695	0.697	0.699	0.706	0.714	0.731	0.747	0.762	0.811
6-10	0.265	0.269	0.270	0.271	0.272	0.273	0.275	0.280	0.285	0.290	0.306
6-11	0.061	0.058	0.056	0.054	0.052	0.047	0.043	0.037	0.033	0.029	0.021
6-12	0.099	0.098	0.097	0.095	0.092	0.085	0.079	0.068	0.060	0.054	0.040
6-13	0.263	0.254	0.250	0.247	0.244	0.235	0.227	0.212	0.201	0.192	0.168
6-14	0.034	0.029	0.028	0.027	0.026	0.024	0.022	0.019	0.017	0.015	0.010
6-15	0.074	0.062	0.058	0.056	0.054	0.050	0.046	0.039	0.034	0.031	0.022
6-16	0.078	0.083	0.088	0.091	0.093	0.098	0.101	0.106	0.110	0.113	0.121
