Species,Air Wavelength (A),Vacuum Wavelength (A),Einstein A Coefficient (per sec),Oscillator Strength (per sec),gl,gu,Solar Flux (ergs/cm2/s/A),G-Factor (photons/atom/s),NIST Relative Intensity,FUV Grating Position,FUV Sensitivity (C/sec/(Kray/nm)),MUV Grating Position,MUV Sensitivity (C/sec/(Kray/nm)),VIS Grating Position,VIS Sensitivity (C/sec/(Kray/nm))
Si I,1983.233,1983.233,2.18E+07,2.14E-02,3,5,6.11E-01,3.66E-04,300,0,0,227.31,73.61,0,0
Si I,1986.364,1986.364,3.65E+07,1.30E-02,5,3,5.73E-01,2.09E-04,500,0,0,228.67,74.19,0,0
Si I,1988.9937,1988.9937,6.57E+07,3.90E-02,5,5,5.40E-01,5.95E-04,1000,0,0,229.82,74.68,0,0
Si I,2207.978,2208.66658,2.62E+07,5.75E-02,1,3,2.63E+00,5.84E-03,400,0,0,325.84,122.31,458.16,166.3
Si I,2210.894,2211.5832,3.45E+07,4.22E-02,3,5,1.61E+00,2.64E-03,500,0,0,327.12,122.96,459.42,166.88
Si I,2211.744,2212.43337,1.81E+07,1.33E-02,3,3,2.13E+00,1.10E-03,300,0,0,327.49,123.15,459.79,167.08
Si I,2216.669,2217.35941,4.54E+07,4.69E-02,5,7,1.59E+00,2.91E-03,500,0,0,329.65,124.26,461.93,168.51
Si I,2218.057,2218.74771,1.09E+07,8.04E-03,5,5,2.50E+00,7.88E-04,400,0,0,330.26,124.58,462.54,169.01
Si I,2506.897,2507.65224,5.47E+07,8.59E-02,3,5,2.87E+00,1.39E-02,400,0,0,457.77,164.13,588.93,244.19
Si I,2514.316,2515.07297,7.40E+07,2.11E-01,1,3,2.93E+00,3.52E-02,400,0,0,461.07,164.55,592.2,238.62
Si I,2516.112,2516.86938,1.68E+08,1.60E-01,5,5,2.38E+00,2.18E-02,500,0,0,461.87,164.65,592.99,237.55
Si I,2519.202,2519.96011,5.49E+07,5.23E-02,3,3,3.01E+00,9.03E-03,400,0,0,463.24,164.82,594.35,236.74
Si I,2524.108,2524.86725,2.22E+08,7.07E-02,3,1,2.75E+00,1.12E-02,400,0,0,465.42,165.1,596.51,236.15
Si I,2528.509,2529.26928,9.04E+07,5.20E-02,5,3,2.74E+00,8.27E-03,400,0,0,467.38,165.34,598.45,235.26
Si II,1190.416,1190.416,6.86E+08,2.92E-01,2,4,6.52E-03,1.15E-05,300,271.54,31.36,0,0,0,0
