Tayal & Gupta 1999		// REFERENCE
transition (lower-upper)	// Column 1
Collision strenth at T 		// Columns 2-9
Collision strenghs (unitless)   // Data type
The first row is a header row. 
Temepratures in the first row in K
\begindata
2-21	1.56	1.41	1.35	1.21	1.16	1.15	1.16	1.25
2-22	3.23e-1	3.33e-1	3.38e-1	3.57e-1	3.74e-1	3.90e-1	4.21e-1	4.72e-1
2-23	3.69e-1	3.78e-1	3.83e-1	3.97e-1	4.08e-1	4.18e-1	4.37e-1	4.67e-1
2-24	6.14e-1	6.31e-1	6.41e-1	6.73e-1	6.94e-1	7.11e-1	7.42e-1	7.94e-1
2-25	1.47	1.48	1.48	1.54	1.61	1.68	1.82	2.08
2-26	3.51	3.55	3.59	3.83	4.11	4.38	4.87	5.71
2-27	6.85e-1	6.90e-1	6.92e-1	6.90e-1	6.85e-1	6.82e-1	6.77e-1	6.60e-1
2-28	2.73e-1	2.63e-1	2.60e-1	2.49e-1	2.35e-1	2.21e-1	1.94e-1	1.57e-1
2-29	2.90e-1	2.82e-1	2.77e-1	2.72e-1	2.79e-1	2.91e-1	3.08e-1	3.11e-1
2-30	5.84e-1	5.87e-1	5.83e-1	5.73e-1	5.77e-1	5.85e-1	5.89e-1	5.69e-1
2-31	1.37e-1	1.44e-1	1.48e-1	1.63e-1	1.64e-1	1.64e-1	1.59e-1	1.44e-1
2-32	1.50e-1	1.48e-1	1.47e-1	1.36e-1	1.23e-1	1.11e-1	9.22e-2	6.97e-2
2-33	1.58e-1	1.54e-1	1.51e-1	1.39e-1	1.29e-1	1.19e-1	1.06e-1	9.13e-2
2-34	1.94e-1	1.88e-1	1.85e-1	1.70e-1	1.54e-1	1.39e-1	1.17e-1	9.04e-2
2-35	2.23e-1	2.18e-1	2.14e-1	2.00e-1	1.83e-1	1.68e-1	1.46e-1	1.21e-1
2-36	1.11e-1	1.03e-1	1.00e-1	9.23e-2	8.33e-2	7.51e-2	6.26e-2	4.48e-2
2-37	5.05e-1	5.23e-1	5.34e-1	5.68e-1	5.68e-1	5.62e-1	5.56e-1	5.61e-1
2-38	2.67e-1	2.63e-1	2.64e-1	2.60e-1	2.44e-1	2.27e-1	2.01e-1	1.69e-1
2-39	8.96e-2	8.96e-2	8.97e-2	8.53e-2	7.69e-2	6.88e-2	5.64e-2	4.18e-2
2-40	1.92e-1	1.88e-1	1.85e-1	1.63e-1	1.43e-1	1.28e-1	1.07e-1	8.32e-2
2-41	4.02e-2	3.54e-2	3.31e-2	2.58e-2	2.14e-2	1.85e-2	1.48e-2	1.11e-2
2-42	2.96e-2	2.34e-2	2.05e-2	2.20e-2	2.03e-2	1.93e-2	1.80e-2	1.64e-2
2-43	4.11e-2	4.40e-2	4.57e-2	5.15e-2	5.50e-2	5.76e-2	6.18e-2	7.12e-2
2-44	1.18e-1	1.40e-1	1.54e-1	2.05e-1	2.37e-1	2.62e-1	3.00e-1	3.63e-1
2-45	2.00e-2	1.61e-2	1.41e-2	2.45e-2	2.46e-2	2.47e-2	2.47e-2	2.46e-2
2-46	1.27e-2	9.69e-3	8.33e-3	1.64e-2	1.79e-2	1.96e-2	2.32e-2	3.06e-2
2-47	1.71e-2	1.31e-2	1.12e-2	1.84e-2	1.91e-2	2.01e-2	2.25e-2	2.77e-2
2-48	3.33e-2	2.56e-2	2.21e-2	3.37e-2	3.45e-2	3.59e-2	3.96e-2	4.80e-2
2-49	0	0	0	3.59e-3	3.59e-3	3.59e-3	3.59e-3	3.58e-3
3-4	4.01	3.89	3.86	3.93	3.96	3.92	3.75	3.32
3-5	6.46e-1	6.51e-1	6.55e-1	6.83e-1	7.19e-1	7.42e-1	7.45e-1	6.79e-1
3-6	1.36	1.52	1.58	1.73	1.79	1.79	1.73	1.54
3-7	5.28e-1	5.29e-1	5.27e-1	5.23e-1	5.15e-1	5.01e-1	4.78e-1	5.03e-1
3-8	1.12	1.13	1.14	1.17	1.18	1.18	1.19	1.31
3-9	2.39	2.42	2.44	2.56	2.63	2.65	2.71	2.91
3-10	1.65e-1	1.73e-1	1.78e-1	1.93e-1	1.95e-1	1.91e-1	1.77e-1	1.53e-1
3-11	7.51e-1	7.61e-1	7.72e-1	8.18e-1	8.28e-1	8.22e-1	8.20e-1	7.96e-1
3-12	1.65	1.65	1.66	1.74	1.76	1.76	1.74	1.75
3-13	1.50	1.53	1.55	1.55	1.49	1.43	1.34	1.25
